Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-08-31 14:02:12.413886,,168.0807728644024,0.02833523535327398,3.7949438346962494,null,machanical
2,2020-08-31 14:02:12.413886,,201.20027993731048,14.942203449450105,4.5382687280888225,null,machanical
3,2020-08-31 14:02:12.413886,,233.47313137343951,25.681600850196908,4.699069037964193,null,machanical
4,2020-08-31 14:02:12.413886,,257.3002159670974,29.614497176760615,7.106188322243339,null,machanical
5,2020-08-31 14:02:12.413886,,276.1235302306953,30.924690703927688,8.899765081590946,null,machanical
6,2020-08-31 14:02:12.413886,,269.9537571266932,31.66125411573706,8.353515738806854,null,machanical
7,2020-08-31 14:02:12.413886,,271.46330821290377,31.538108542376747,8.228415081400247,null,machanical
8,2020-08-31 14:02:12.413886,,274.12602459502017,31.6512881029401,8.149258300880238,null,machanical
9,2020-08-31 14:02:12.413886,,277.1858618340928,30.957087867757817,8.893189498606917,null,machanical
10,2020-08-31 14:02:12.413886,,268.13399691510887,31.016365133745925,8.941147181945096,null,machanical
11,2020-08-31 14:02:12.413886,,275.5873292479606,31.885157190957976,8.532899293919355,null,machanical
12,2020-08-31 14:02:12.413886,,272.3171391929713,31.43356028921048,8.886103213029463,null,machanical
13,2020-08-31 14:02:12.413886,,272.6410175032769,32.04689605281723,8.25136466228505,null,machanical
14,2020-08-31 14:02:12.413886,,274.8912201488388,31.43664741396224,9.303705027653756,null,machanical
15,2020-08-31 14:02:12.413886,,258.9,28.6,8.0,null,machanical
16,2020-08-31 14:02:12.413886,,239.1,25.0,7.5,null,machanical
17,2020-08-31 14:02:12.413886,,249.2,28.3,7.8,null,machanical
18,2020-08-31 14:02:12.413886,,244.6,27.8,7.6,null,machanical
19,2020-08-31 14:02:12.413886,,250.4,27.0,7.6,null,machanical
20,2020-08-31 14:02:12.413886,,252.6,29.3,7.6,null,machanical
21,2020-08-31 14:02:12.413886,,236.5,28.1,7.2,null,machanical
22,2020-08-31 14:02:12.413886,,251.8,28.2,7.6,null,machanical
23,2020-08-31 14:02:12.413886,,259.1,28.5,7.9,null,machanical
24,2020-08-31 14:02:12.413886,,255.7,27.1,7.8,null,machanical
25,2020-08-31 14:02:12.413886,,258.6,29.6,7.9,null,machanical
26,2020-08-31 14:02:12.413886,,260.6,27.6,8.2,null,machanical
27,2020-08-31 14:02:12.413886,,250.5,27.6,7.8,null,machanical
28,2020-08-31 14:02:12.413886,,251.9,28.2,7.8,null,machanical
29,2020-08-31 14:02:12.413886,,251.8,27.5,7.8,null,machanical
30,2020-08-31 14:02:12.413886,,245.6,28.1,7.6,null,machanical
31,2020-08-31 14:02:12.413886,,257.8,30.9,7.9,null,machanical
32,2020-08-31 14:02:12.413886,,259.0,29.3,7.8,null,machanical
33,2020-08-31 14:02:12.413886,,264.0,30.1,8.1,null,machanical
34,2020-08-31 14:02:12.413886,,247.0,27.7,7.5,null,machanical
35,2020-08-31 14:02:12.413886,,244.9,25.8,7.5,null,machanical
36,2020-08-31 14:02:12.413886,,256.3,29.8,7.8,null,machanical
37,2020-08-31 14:02:12.413886,,245.1,25.9,7.4,null,machanical
38,2020-08-31 14:02:12.413886,,243.8,25.3,7.5,null,machanical
39,2020-08-31 14:02:12.413886,,223.7,25.0,6.9,null,machanical
40,2020-08-31 14:02:12.413886,,241.2,28.8,7.6,null,machanical
41,2020-08-31 14:02:12.413886,,255.8,27.2,8.0,null,machanical
42,2020-08-31 14:02:12.413886,,263.0,27.3,8.0,null,machanical
43,2020-08-31 14:02:12.413886,,254.6,28.5,7.9,null,machanical
44,2020-08-31 14:02:12.413886,,243.6,26.8,7.5,null,machanical
45,2020-08-31 14:02:12.413886,,247.0,28.3,7.7,null,machanical
46,2020-08-31 14:02:12.413886,,245.3,27.9,7.5,null,machanical
47,2020-08-31 14:02:12.413886,,245.0,30.0,7.6,null,machanical
48,2020-08-31 14:02:12.413886,,256.6,29.4,8.0,null,machanical
49,2020-08-31 14:02:12.413886,,241.2,27.2,7.5,null,machanical
50,2020-08-31 14:02:12.413886,,252.5,26.8,7.8,null,machanical
51,2020-08-31 14:02:12.413886,,246.3,27.0,7.6,null,machanical
52,2020-08-31 14:02:12.413886,,253.2,29.9,8.0,null,machanical
53,2020-08-31 14:02:12.413886,,263.7,27.7,8.3,null,machanical
54,2020-08-31 14:02:12.413886,,249.8,27.3,7.8,null,machanical
55,2020-08-31 14:02:12.413886,,238.9,26.7,7.5,null,machanical
56,2020-08-31 14:02:12.413886,,245.2,26.9,7.6,null,machanical
57,2020-08-31 14:02:12.413886,,270.4,29.7,8.4,null,machanical
58,2020-08-31 14:02:12.413886,,246.0,25.6,7.6,null,machanical
59,2020-08-31 14:02:12.413886,,256.0,27.9,7.9,null,machanical
60,2020-08-31 14:02:12.413886,,250.6,28.5,7.7,null,machanical
61,2020-08-31 14:02:12.413886,,244.0,27.1,7.6,null,machanical
62,2020-08-31 14:02:12.413886,,263.1,28.1,8.1,null,machanical
63,2020-08-31 14:02:12.413886,,247.0,28.2,7.7,null,machanical
64,2020-08-31 14:02:12.413886,,253.6,28.8,7.9,null,machanical
