Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-08-31 14:03:03.183774,,200.09406137619823,0.5832310186494127,5.855430683887456,null,porosity
2,2020-08-31 14:03:03.183774,,253.1996258567588,26.826426176552072,6.309626113210806,null,porosity
3,2020-08-31 14:03:03.183774,,269.7458795296865,31.41444495473419,8.933759430865477,null,porosity
4,2020-08-31 14:03:03.183774,,271.7215990196766,31.63577546076499,8.56299828514554,null,porosity
5,2020-08-31 14:03:03.183774,,272.61687971929234,31.696893426184918,8.7566395417083,null,porosity
6,2020-08-31 14:03:03.183774,,272.1256754233571,30.9340495228404,8.350118330043815,null,porosity
7,2020-08-31 14:03:03.183774,,270.19249386609624,31.588203781726172,9.449413112293364,null,porosity
8,2020-08-31 14:03:03.183774,,275.8224130410071,31.646633010936583,8.336689370745155,null,porosity
9,2020-08-31 14:03:03.183774,,275.93901861887593,31.85762800714351,9.087653496976243,null,porosity
10,2020-08-31 14:03:03.183774,,276.3079151475077,31.66056320836322,8.125545689790533,null,porosity
11,2020-08-31 14:03:03.183774,,274.75374853921386,31.442915078750858,9.18806433664459,null,porosity
12,2020-08-31 14:03:03.183774,,276.17144196290013,31.004192618562666,8.953826952768843,null,porosity
13,2020-08-31 14:03:03.183774,,266.4,30.7,8.3,null,porosity
14,2020-08-31 14:03:03.183774,,250.1,25.7,7.8,null,porosity
15,2020-08-31 14:03:03.183774,,259.0,29.4,7.9,null,porosity
16,2020-08-31 14:03:03.183774,,262.9,28.7,8.1,null,porosity
17,2020-08-31 14:03:03.183774,,242.5,26.0,7.4,null,porosity
18,2020-08-31 14:03:03.183774,,244.8,27.1,7.4,null,porosity
19,2020-08-31 14:03:03.183774,,253.9,30.3,7.7,null,porosity
20,2020-08-31 14:03:03.183774,,251.6,27.6,7.7,null,porosity
21,2020-08-31 14:03:03.183774,,256.6,29.3,8.0,null,porosity
22,2020-08-31 14:03:03.183774,,248.0,27.2,7.7,null,porosity
23,2020-08-31 14:03:03.183774,,253.7,29.2,7.8,null,porosity
24,2020-08-31 14:03:03.183774,,260.4,28.5,8.1,null,porosity
25,2020-08-31 14:03:03.183774,,250.4,28.9,7.7,null,porosity
26,2020-08-31 14:03:03.183774,,250.6,27.7,7.8,null,porosity
27,2020-08-31 14:03:03.183774,,243.8,27.4,7.3,null,porosity
28,2020-08-31 14:03:03.183774,,260.3,30.7,8.0,null,porosity
29,2020-08-31 14:03:03.183774,,238.6,26.2,7.4,null,porosity
30,2020-08-31 14:03:03.183774,,261.9,27.8,8.0,null,porosity
31,2020-08-31 14:03:03.183774,,264.2,28.7,8.1,null,porosity
32,2020-08-31 14:03:03.183774,,254.9,27.9,8.0,null,porosity
33,2020-08-31 14:03:03.183774,,252.4,28.0,7.7,null,porosity
34,2020-08-31 14:03:03.183774,,246.1,28.3,7.7,null,porosity
35,2020-08-31 14:03:03.183774,,256.5,26.8,7.9,null,porosity
36,2020-08-31 14:03:03.183774,,250.5,28.0,7.7,null,porosity
37,2020-08-31 14:03:03.183774,,264.1,29.4,8.3,null,porosity
38,2020-08-31 14:03:03.183774,,247.2,27.9,7.7,null,porosity
39,2020-08-31 14:03:03.183774,,248.4,28.0,7.7,null,porosity
40,2020-08-31 14:03:03.183774,,256.9,28.6,7.9,null,porosity
41,2020-08-31 14:03:03.183774,,245.1,26.9,7.5,null,porosity
42,2020-08-31 14:03:03.183774,,265.6,29.4,8.1,null,porosity
43,2020-08-31 14:03:03.183774,,256.3,28.6,7.8,null,porosity
44,2020-08-31 14:03:03.183774,,256.5,29.2,8.0,null,porosity
45,2020-08-31 14:03:03.183774,,268.4,31.0,8.2,null,porosity
46,2020-08-31 14:03:03.183774,,259.0,28.5,7.9,null,porosity
47,2020-08-31 14:03:03.183774,,250.6,27.6,7.7,null,porosity
48,2020-08-31 14:03:03.183774,,256.7,29.9,8.0,null,porosity
49,2020-08-31 14:03:03.183774,,259.1,28.5,8.1,null,porosity
50,2020-08-31 14:03:03.183774,,252.7,28.7,7.7,null,porosity
51,2020-08-31 14:03:03.183774,,257.6,29.7,7.8,null,porosity
52,2020-08-31 14:03:03.183774,,242.0,28.1,7.5,null,porosity
53,2020-08-31 14:03:03.183774,,259.7,30.9,8.1,null,porosity
54,2020-08-31 14:03:03.183774,,257.3,30.0,8.0,null,porosity
55,2020-08-31 14:03:03.183774,,260.4,29.3,8.0,null,porosity
56,2020-08-31 14:03:03.183774,,242.5,26.3,7.4,null,porosity
57,2020-08-31 14:03:03.183774,,241.9,28.5,7.3,null,porosity
58,2020-08-31 14:03:03.183774,,244.0,25.8,7.6,null,porosity
59,2020-08-31 14:03:03.183774,,247.2,28.1,7.6,null,porosity
60,2020-08-31 14:03:03.183774,,248.1,28.4,7.8,null,porosity
61,2020-08-31 14:03:03.183774,,261.6,28.2,8.2,null,porosity
62,2020-08-31 14:03:03.183774,,255.5,28.0,7.8,null,porosity
63,2020-08-31 14:03:03.183774,,238.8,26.9,7.5,null,porosity
64,2020-08-31 14:03:03.183774,,250.5,28.6,7.8,null,porosity
65,2020-08-31 14:03:03.183774,,265.2,28.4,8.2,null,porosity
66,2020-08-31 14:03:03.183774,,250.7,26.1,7.8,null,porosity
67,2020-08-31 14:03:03.183774,,257.5,29.5,8.0,null,porosity
68,2020-08-31 14:03:03.183774,,247.2,25.7,7.6,null,porosity
69,2020-08-31 14:03:03.183774,,249.6,27.6,7.6,null,porosity
70,2020-08-31 14:03:03.183774,,245.5,27.7,7.6,null,porosity
71,2020-08-31 14:03:03.183774,,246.1,28.0,7.7,null,porosity
72,2020-08-31 14:03:03.183774,,250.7,27.6,7.7,null,porosity
73,2020-08-31 14:03:03.183774,,260.3,29.4,8.1,null,porosity
74,2020-08-31 14:03:03.183774,,256.8,28.1,8.0,null,porosity
75,2020-08-31 14:03:03.183774,,257.3,28.0,7.9,null,porosity
76,2020-08-31 14:03:03.183774,,252.0,29.7,7.8,null,porosity
77,2020-08-31 14:03:03.183774,,246.6,28.4,7.5,null,porosity
78,2020-08-31 14:03:03.183774,,240.9,27.6,7.4,null,porosity
79,2020-08-31 14:03:03.183774,,251.1,27.4,7.7,null,porosity
80,2020-08-31 14:03:03.183774,,266.0,27.7,8.3,null,porosity
81,2020-08-31 14:03:03.183774,,250.8,28.3,7.7,null,porosity
82,2020-08-31 14:03:03.183774,,242.5,26.2,7.4,null,porosity
83,2020-08-31 14:03:03.183774,,255.1,28.0,7.9,null,porosity
84,2020-08-31 14:03:03.183774,,259.7,28.5,7.9,null,porosity
85,2020-08-31 14:03:03.183774,,262.0,28.7,8.0,null,porosity
86,2020-08-31 14:03:03.183774,,261.5,31.2,8.2,null,porosity
87,2020-08-31 14:03:03.183774,,249.9,27.5,7.7,null,porosity
88,2020-08-31 14:03:03.183774,,239.5,26.9,7.5,null,porosity
89,2020-08-31 14:03:03.183774,,248.5,26.5,7.6,null,porosity
90,2020-08-31 14:03:03.183774,,250.5,29.8,7.7,null,porosity
91,2020-08-31 14:03:03.183774,,242.2,26.8,7.4,null,porosity
92,2020-08-31 14:03:03.183774,,252.1,28.7,7.7,null,porosity
93,2020-08-31 14:03:03.183774,,239.4,25.6,7.4,null,porosity
94,2020-08-31 14:03:03.183774,,255.9,28.8,7.9,null,porosity
95,2020-08-31 14:03:03.183774,,254.2,28.6,7.9,null,porosity
96,2020-08-31 14:03:03.183774,,245.0,26.0,7.6,null,porosity
97,2020-08-31 14:03:03.183774,,251.4,27.1,7.7,null,porosity
98,2020-08-31 14:03:03.183774,,250.6,28.0,7.8,null,porosity
99,2020-08-31 14:03:03.183774,,251.7,28.1,7.9,null,porosity
100,2020-08-31 14:03:03.183774,,258.9,28.9,7.9,null,porosity
101,2020-08-31 14:03:03.183774,,263.2,28.2,8.0,null,porosity
102,2020-08-31 14:03:03.183774,,250.1,28.5,7.8,null,porosity
103,2020-08-31 14:03:03.183774,,243.5,28.2,7.5,null,porosity
104,2020-08-31 14:03:03.183774,,242.4,27.3,7.4,null,porosity
105,2020-08-31 14:03:03.183774,,247.6,28.4,7.6,null,porosity
106,2020-08-31 14:03:03.183774,,257.9,27.9,7.8,null,porosity
107,2020-08-31 14:03:03.183774,,242.9,27.4,7.3,null,porosity
108,2020-08-31 14:03:03.183774,,258.5,30.0,7.8,null,porosity
109,2020-08-31 14:03:03.183774,,263.8,29.6,8.1,null,porosity
110,2020-08-31 14:03:03.183774,,232.8,25.9,7.3,null,porosity
111,2020-08-31 14:03:03.183774,,254.0,30.1,7.9,null,porosity
112,2020-08-31 14:03:03.183774,,248.0,28.0,7.8,null,porosity
113,2020-08-31 14:03:03.183774,,247.7,27.6,7.4,null,porosity
114,2020-08-31 14:03:03.183774,,259.0,29.4,8.0,null,porosity
115,2020-08-31 14:03:03.183774,,262.0,28.9,8.1,null,porosity
116,2020-08-31 14:03:03.183774,,252.0,27.5,7.8,null,porosity
117,2020-08-31 14:03:03.183774,,250.5,27.4,7.7,null,porosity
118,2020-08-31 14:03:03.183774,,239.0,25.6,7.4,null,porosity
119,2020-08-31 14:03:03.183774,,240.0,25.1,7.4,null,porosity
120,2020-08-31 14:03:03.183774,,242.2,27.9,7.3,null,porosity
121,2020-08-31 14:03:03.183774,,263.5,30.4,8.0,null,porosity
122,2020-08-31 14:03:03.183774,,251.1,27.3,7.8,null,porosity
123,2020-08-31 14:03:03.183774,,234.3,26.0,7.3,null,porosity
124,2020-08-31 14:03:03.183774,,253.7,28.1,7.8,null,porosity
125,2020-08-31 14:03:03.183774,,260.3,29.6,8.0,null,porosity
126,2020-08-31 14:03:03.183774,,257.5,28.4,8.0,null,porosity
127,2020-08-31 14:03:03.183774,,253.1,29.4,7.7,null,porosity
128,2020-08-31 14:03:03.183774,,248.8,27.3,7.8,null,porosity
129,2020-08-31 14:03:03.183774,,254.0,28.3,8.0,null,porosity
130,2020-08-31 14:03:03.183774,,248.1,28.3,7.6,null,porosity
131,2020-08-31 14:03:03.183774,,259.1,28.7,7.9,null,porosity
132,2020-08-31 14:03:03.183774,,250.3,27.8,7.7,null,porosity
133,2020-08-31 14:03:03.183774,,268.1,28.9,8.2,null,porosity
134,2020-08-31 14:03:03.183774,,264.0,28.6,8.0,null,porosity
135,2020-08-31 14:03:03.183774,,256.3,28.4,8.0,null,porosity
136,2020-08-31 14:03:03.183774,,251.5,29.1,7.7,null,porosity
137,2020-08-31 14:03:03.183774,,269.2,29.5,8.2,null,porosity
138,2020-08-31 14:03:03.183774,,244.9,28.1,7.5,null,porosity
139,2020-08-31 14:03:03.183774,,260.4,28.2,8.0,null,porosity
140,2020-08-31 14:03:03.183774,,249.4,28.8,7.6,null,porosity
141,2020-08-31 14:03:03.183774,,245.8,28.9,7.5,null,porosity
142,2020-08-31 14:03:03.183774,,262.0,27.7,8.1,null,porosity
143,2020-08-31 14:03:03.183774,,249.5,29.1,7.7,null,porosity
144,2020-08-31 14:03:03.183774,,251.0,28.0,7.6,null,porosity
145,2020-08-31 14:03:03.183774,,253.3,26.9,7.9,null,porosity
146,2020-08-31 14:03:03.183774,,244.6,27.9,7.4,null,porosity
147,2020-08-31 14:03:03.183774,,245.6,26.6,7.7,null,porosity
148,2020-08-31 14:03:03.183774,,247.1,27.2,7.6,null,porosity
149,2020-08-31 14:03:03.183774,,250.4,28.3,7.7,null,porosity
150,2020-08-31 14:03:03.183774,,251.8,28.8,7.8,null,porosity
151,2020-08-31 14:03:03.183774,,261.2,29.1,7.9,null,porosity
152,2020-08-31 14:03:03.183774,,246.5,26.3,7.4,null,porosity
153,2020-08-31 14:03:03.183774,,244.7,25.9,7.5,null,porosity
154,2020-08-31 14:03:03.183774,,251.9,27.4,7.8,null,porosity
155,2020-08-31 14:03:03.183774,,264.6,29.0,8.2,null,porosity
156,2020-08-31 14:03:03.183774,,260.7,29.7,8.1,null,porosity
157,2020-08-31 14:03:03.183774,,243.9,27.3,7.5,null,porosity
158,2020-08-31 14:03:03.183774,,239.1,27.1,7.4,null,porosity
159,2020-08-31 14:03:03.183774,,256.7,29.0,7.8,null,porosity
160,2020-08-31 14:03:03.183774,,261.2,27.2,8.2,null,porosity
161,2020-08-31 14:03:03.183774,,264.0,30.5,8.1,null,porosity
162,2020-08-31 14:03:03.183774,,245.2,28.2,7.7,null,porosity
163,2020-08-31 14:03:03.183774,,253.9,28.0,7.7,null,porosity
