Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-08-31 13:15:36.826576,,104.85324800244604,24.41739921169605,5.5501632625128225,null,undercut
2,2020-08-31 13:15:36.826576,,233.86582001390386,29.880428269536253,6.201193241264276,null,undercut
3,2020-08-31 13:15:36.826576,,249.57594171290182,29.8999532649879,6.716947355066242,null,undercut
4,2020-08-31 13:15:36.826576,,251.51840083755602,29.955732726209824,8.022171791158176,null,undercut
5,2020-08-31 13:15:36.826576,,252.16428101304965,29.957713138492966,8.081852706961556,null,undercut
6,2020-08-31 13:15:36.826576,,272.5103465985239,31.574138034893867,8.415161092406398,null,undercut
7,2020-08-31 13:15:36.826576,,270.092270907486,31.759962271620694,8.823816817194157,null,undercut
8,2020-08-31 13:15:36.826576,,275.5295964134876,31.28516307484272,8.380669563849143,null,undercut
9,2020-08-31 13:15:36.826576,,275.7664581623989,31.545481797210787,9.013854023851351,null,undercut
10,2020-08-31 13:15:36.826576,,272.3085523510592,31.803379612189623,8.880084012135615,null,undercut
11,2020-08-31 13:15:36.826576,,276.3425844742762,31.717672152443797,8.784963799654355,null,undercut
12,2020-08-31 13:15:36.826576,,274.86354862603235,31.610724956432634,8.917836741533357,null,undercut
13,2020-08-31 13:15:36.826576,,274.2005289140238,30.967017353263387,8.662371279434344,null,undercut
14,2020-08-31 13:15:36.826576,,273.9297946478663,31.08776313273404,8.906817351439978,null,undercut
15,2020-08-31 13:15:36.826576,,271.35436757444927,30.94030566729414,8.993474664534066,null,undercut
16,2020-08-31 13:15:36.826576,,261.4,28.9,8.0,null,undercut
17,2020-08-31 13:15:36.826576,,249.6,27.2,7.8,null,undercut
18,2020-08-31 13:15:36.826576,,252.4,29.4,7.7,null,undercut
19,2020-08-31 13:15:36.826576,,257.2,29.6,8.0,null,undercut
20,2020-08-31 13:15:36.826576,,251.1,27.0,7.8,null,undercut
21,2020-08-31 13:15:36.826576,,245.8,28.5,7.7,null,undercut
22,2020-08-31 13:15:36.826576,,247.3,28.1,7.6,null,undercut
23,2020-08-31 13:15:36.826576,,261.7,29.5,8.1,null,undercut
24,2020-08-31 13:15:36.826576,,248.4,27.9,7.7,null,undercut
25,2020-08-31 13:15:36.826576,,259.5,30.9,8.1,null,undercut
26,2020-08-31 13:15:36.826576,,251.3,29.5,7.8,null,undercut
27,2020-08-31 13:15:36.826576,,254.4,28.7,7.9,null,undercut
28,2020-08-31 13:15:36.826576,,251.2,27.3,7.8,null,undercut
29,2020-08-31 13:15:36.826576,,251.7,27.2,7.6,null,undercut
30,2020-08-31 13:15:36.826576,,248.3,27.9,7.7,null,undercut
31,2020-08-31 13:15:36.826576,,253.4,28.2,7.9,null,undercut
32,2020-08-31 13:15:36.826576,,245.3,27.0,7.6,null,undercut
33,2020-08-31 13:15:36.826576,,244.4,28.1,7.5,null,undercut
34,2020-08-31 13:15:36.826576,,254.0,28.4,7.7,null,undercut
35,2020-08-31 13:15:36.826576,,242.7,27.1,7.6,null,undercut
36,2020-08-31 13:15:36.826576,,251.3,30.2,7.8,null,undercut
37,2020-08-31 13:15:36.826576,,259.3,27.4,8.0,null,undercut
38,2020-08-31 13:15:36.826576,,241.4,27.7,7.5,null,undercut
39,2020-08-31 13:15:36.826576,,255.1,28.3,7.8,null,undercut
40,2020-08-31 13:15:36.826576,,260.0,28.8,8.0,null,undercut
41,2020-08-31 13:15:36.826576,,244.6,28.5,7.7,null,undercut
42,2020-08-31 13:15:36.826576,,248.1,27.8,7.7,null,undercut
43,2020-08-31 13:15:36.826576,,254.0,27.4,8.0,null,undercut
44,2020-08-31 13:15:36.826576,,263.1,30.4,7.9,null,undercut
45,2020-08-31 13:15:36.826576,,247.1,27.7,7.5,null,undercut
46,2020-08-31 13:15:36.826576,,266.7,29.4,8.2,null,undercut
47,2020-08-31 13:15:36.826576,,254.4,26.1,7.9,null,undercut
48,2020-08-31 13:15:36.826576,,261.8,29.3,8.0,null,undercut
49,2020-08-31 13:15:36.826576,,236.1,25.1,7.4,null,undercut
50,2020-08-31 13:15:36.826576,,251.0,28.0,7.8,null,undercut
51,2020-08-31 13:15:36.826576,,257.4,29.8,7.9,null,undercut
52,2020-08-31 13:15:36.826576,,261.3,29.6,8.1,null,undercut
53,2020-08-31 13:15:36.826576,,252.0,28.1,7.7,null,undercut
54,2020-08-31 13:15:36.826576,,242.0,26.7,7.4,null,undercut
55,2020-08-31 13:15:36.826576,,246.9,27.5,7.6,null,undercut
56,2020-08-31 13:15:36.826576,,264.3,28.7,8.2,null,undercut
57,2020-08-31 13:15:36.826576,,252.9,28.1,7.9,null,undercut
58,2020-08-31 13:15:36.826576,,247.4,27.4,7.6,null,undercut
59,2020-08-31 13:15:36.826576,,252.6,27.9,7.7,null,undercut
60,2020-08-31 13:15:36.826576,,255.3,29.1,7.9,null,undercut
61,2020-08-31 13:15:36.826576,,244.8,26.4,7.5,null,undercut
62,2020-08-31 13:15:36.826576,,264.1,27.7,8.2,null,undercut
63,2020-08-31 13:15:36.826576,,253.4,29.8,7.6,null,undercut
64,2020-08-31 13:15:36.826576,,253.3,28.1,7.8,null,undercut
65,2020-08-31 13:15:36.826576,,261.5,30.3,8.1,null,undercut
66,2020-08-31 13:15:36.826576,,244.6,28.7,7.5,null,undercut
67,2020-08-31 13:15:36.826576,,242.5,28.6,7.4,null,undercut
68,2020-08-31 13:15:36.826576,,256.3,28.7,7.8,null,undercut
69,2020-08-31 13:15:36.826576,,276.7,30.3,8.6,null,undercut
70,2020-08-31 13:15:36.826576,,246.5,26.4,7.5,null,undercut
71,2020-08-31 13:15:36.826576,,247.4,27.9,7.7,null,undercut
72,2020-08-31 13:15:36.826576,,251.8,28.7,7.7,null,undercut
73,2020-08-31 13:15:36.826576,,249.0,28.4,7.8,null,undercut
74,2020-08-31 13:15:36.826576,,233.9,26.3,7.2,null,undercut
75,2020-08-31 13:15:36.826576,,260.9,30.2,8.0,null,undercut
76,2020-08-31 13:15:36.826576,,267.0,29.2,8.2,null,undercut
77,2020-08-31 13:15:36.826576,,257.6,28.0,7.9,null,undercut
78,2020-08-31 13:15:36.826576,,241.0,27.5,7.4,null,undercut
79,2020-08-31 13:15:36.826576,,253.7,28.0,7.7,null,undercut
80,2020-08-31 13:15:36.826576,,244.2,27.7,7.5,null,undercut
81,2020-08-31 13:15:36.826576,,245.8,25.6,7.6,null,undercut
82,2020-08-31 13:15:36.826576,,256.1,28.4,7.9,null,undercut
83,2020-08-31 13:15:36.826576,,249.9,28.2,7.7,null,undercut
84,2020-08-31 13:15:36.826576,,264.2,27.9,8.2,null,undercut
85,2020-08-31 13:15:36.826576,,259.2,29.5,7.9,null,undercut
86,2020-08-31 13:15:36.826576,,254.6,28.4,8.0,null,undercut
87,2020-08-31 13:15:36.826576,,258.8,28.1,8.0,null,undercut
88,2020-08-31 13:15:36.826576,,252.1,27.3,7.8,null,undercut
89,2020-08-31 13:15:36.826576,,247.3,29.0,7.6,null,undercut
90,2020-08-31 13:15:36.826576,,259.4,28.6,7.8,null,undercut
91,2020-08-31 13:15:36.826576,,238.5,26.8,7.3,null,undercut
92,2020-08-31 13:15:36.826576,,252.2,27.4,7.7,null,undercut
93,2020-08-31 13:15:36.826576,,249.5,27.9,7.7,null,undercut
94,2020-08-31 13:15:36.826576,,249.9,27.6,7.7,null,undercut
95,2020-08-31 13:15:36.826576,,241.0,28.0,7.4,null,undercut
96,2020-08-31 13:15:36.826576,,249.7,26.8,7.6,null,undercut
97,2020-08-31 13:15:36.826576,,258.5,29.9,8.1,null,undercut
98,2020-08-31 13:15:36.826576,,241.1,28.4,7.4,null,undercut
99,2020-08-31 13:15:36.826576,,245.5,27.6,7.5,null,undercut
100,2020-08-31 13:15:36.826576,,266.3,29.3,8.2,null,undercut
101,2020-08-31 13:15:36.826576,,251.4,28.0,7.8,null,undercut
102,2020-08-31 13:15:36.826576,,259.4,28.8,8.0,null,undercut
103,2020-08-31 13:15:36.826576,,244.1,26.8,7.7,null,undercut
104,2020-08-31 13:15:36.826576,,252.0,26.6,7.8,null,undercut
105,2020-08-31 13:15:36.826576,,255.5,28.3,8.0,null,undercut
106,2020-08-31 13:15:36.826576,,258.6,27.2,8.0,null,undercut
107,2020-08-31 13:15:36.826576,,264.7,29.7,8.2,null,undercut
108,2020-08-31 13:15:36.826576,,265.1,28.3,8.1,null,undercut
109,2020-08-31 13:15:36.826576,,249.7,28.3,7.6,null,undercut
110,2020-08-31 13:15:36.826576,,248.0,27.5,7.6,null,undercut
111,2020-08-31 13:15:36.826576,,254.5,28.5,7.8,null,undercut
112,2020-08-31 13:15:36.826576,,255.7,25.9,7.8,null,undercut
113,2020-08-31 13:15:36.826576,,257.2,28.5,7.9,null,undercut
114,2020-08-31 13:15:36.826576,,253.3,28.1,7.9,null,undercut
115,2020-08-31 13:15:36.826576,,268.1,30.6,8.3,null,undercut
116,2020-08-31 13:15:36.826576,,257.3,29.2,7.9,null,undercut
117,2020-08-31 13:15:36.826576,,247.1,28.1,7.7,null,undercut
118,2020-08-31 13:15:36.826576,,259.3,28.1,8.0,null,undercut
119,2020-08-31 13:15:36.826576,,250.5,29.4,7.7,null,undercut
120,2020-08-31 13:15:36.826576,,262.0,30.3,8.1,null,undercut
121,2020-08-31 13:15:36.826576,,261.2,31.7,8.0,null,undercut
122,2020-08-31 13:15:36.826576,,255.8,29.1,8.0,null,undercut
123,2020-08-31 13:15:36.826576,,243.1,26.2,7.5,null,undercut
124,2020-08-31 13:15:36.826576,,269.8,28.9,8.3,null,undercut
125,2020-08-31 13:15:36.826576,,263.6,28.6,8.1,null,undercut
126,2020-08-31 13:15:36.826576,,250.1,26.5,7.7,null,undercut
127,2020-08-31 13:15:36.826576,,251.1,28.0,7.8,null,undercut
128,2020-08-31 13:15:36.826576,,248.2,27.7,7.5,null,undercut
129,2020-08-31 13:15:36.826576,,250.5,27.6,7.8,null,undercut
130,2020-08-31 13:15:36.826576,,243.6,28.3,7.5,null,undercut
131,2020-08-31 13:15:36.826576,,251.2,29.0,7.7,null,undercut
132,2020-08-31 13:15:36.826576,,251.7,28.2,7.8,null,undercut
133,2020-08-31 13:15:36.826576,,256.8,29.8,7.8,null,undercut
134,2020-08-31 13:15:36.826576,,242.7,27.1,7.5,null,undercut
135,2020-08-31 13:15:36.826576,,249.8,29.9,7.6,null,undercut
136,2020-08-31 13:15:36.826576,,261.9,29.9,8.0,null,undercut
137,2020-08-31 13:15:36.826576,,257.2,28.7,7.9,null,undercut
138,2020-08-31 13:15:36.826576,,243.6,28.3,7.5,null,undercut
139,2020-08-31 13:15:36.826576,,245.9,27.3,7.6,null,undercut
140,2020-08-31 13:15:36.826576,,234.0,24.8,7.3,null,undercut
141,2020-08-31 13:15:36.826576,,260.9,30.3,8.2,null,undercut
142,2020-08-31 13:15:36.826576,,239.9,25.8,7.4,null,undercut
143,2020-08-31 13:15:36.826576,,251.5,26.4,7.7,null,undercut
144,2020-08-31 13:15:36.826576,,237.8,27.3,7.3,null,undercut
145,2020-08-31 13:15:36.826576,,250.6,28.6,7.8,null,undercut
146,2020-08-31 13:15:36.826576,,259.9,30.5,8.1,null,undercut
147,2020-08-31 13:15:36.826576,,241.0,27.6,7.5,null,undercut
