Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-09-12 22:06:20.309004,,9.059371668374485,18.22274313298211,1.83486804848469,null,normal
2,2020-09-12 22:06:20.309004,,123.70009150889554,23.295181030321512,2.3394513700367257,null,normal
3,2020-09-12 22:06:20.309004,,174.27624331407665,24.168248031827357,5.041394530200354,null,normal
4,2020-09-12 22:06:20.310006,,192.93536948979488,27.99207578600271,6.994042455586753,null,normal
5,2020-09-12 22:06:20.310006,,277.5396926832674,31.56863750108722,9.530009993574936,null,normal
6,2020-09-12 22:06:20.310006,,274.284343716298,30.97060560425648,8.999162997098654,null,normal
7,2020-09-12 22:06:20.310006,,276.37713767008836,31.199956531174994,9.100664479634451,null,normal
8,2020-09-12 22:06:20.310006,,272.1035431843001,31.579724875557208,8.83780473232451,null,normal
9,2020-09-12 22:06:20.310006,,271.54584380141387,31.03336551641128,8.675247913619167,null,normal
10,2020-09-12 22:06:20.310006,,275.4180982013896,32.05312642659157,8.664757908541024,null,normal
11,2020-09-12 22:06:20.310006,,277.5357823909504,31.211905383099346,9.273901648665515,null,normal
12,2020-09-12 22:06:20.310006,,271.50703253455794,31.756519957975694,8.622189739094546,null,normal
13,2020-09-12 22:06:20.310006,,273.82049067136523,32.021964707823095,8.272934648848913,null,normal
14,2020-09-12 22:06:20.310006,,271.2147184263403,31.956908157093572,9.585799064422732,null,normal
15,2020-09-12 22:06:20.310006,,253.47446,27.7136,7.83413,null,normal
16,2020-09-12 22:06:20.311005,,259.30564,28.86683,7.91987,null,normal
17,2020-09-12 22:06:20.311005,,255.75305,28.27337,7.84756,null,normal
18,2020-09-12 22:06:20.311005,,268.09212,30.51892,8.24109,null,normal
19,2020-09-12 22:06:20.311005,,240.52931,25.996,7.31997,null,normal
20,2020-09-12 22:06:20.311005,,252.55847,28.02384,7.7397,null,normal
21,2020-09-12 22:06:20.311005,,256.56035,28.95651,7.86848,null,normal
22,2020-09-12 22:06:20.311005,,252.70337,28.93669,7.82517,null,normal
23,2020-09-12 22:06:20.311005,,240.79039,27.75389,7.61218,null,normal
24,2020-09-12 22:06:20.311005,,256.47013,28.53656,8.03956,null,normal
25,2020-09-12 22:06:20.312007,,262.82353,29.53264,8.26371,null,normal
26,2020-09-12 22:06:20.312007,,253.92679,28.08235,7.73867,null,normal
27,2020-09-12 22:06:20.312007,,234.16384,27.23897,7.22995,null,normal
28,2020-09-12 22:06:20.312007,,245.21477,27.15656,7.5846,null,normal
29,2020-09-12 22:06:20.312007,,245.23166,27.90032,7.58553,null,normal
30,2020-09-12 22:06:20.312007,,266.48599,30.04413,8.20254,null,normal
31,2020-09-12 22:06:20.312007,,236.55317,25.63767,7.43891,null,normal
32,2020-09-12 22:06:20.312007,,257.94711,27.77545,8.01845,null,normal
33,2020-09-12 22:06:20.312007,,243.60468,26.84477,7.73893,null,normal
34,2020-09-12 22:06:20.312007,,251.73437,27.40492,7.74429,null,normal
35,2020-09-12 22:06:20.312007,,256.9754,29.24975,7.85533,null,normal
36,2020-09-12 22:06:20.312007,,249.51018,28.19805,7.63716,null,normal
37,2020-09-12 22:06:20.313007,,255.96093,27.55567,7.84298,null,normal
38,2020-09-12 22:06:20.313007,,236.36523,26.43306,7.2683,null,normal
39,2020-09-12 22:06:20.313007,,242.03727,28.02088,7.37266,null,normal
40,2020-09-12 22:06:20.313007,,253.38723,26.94775,7.88903,null,normal
41,2020-09-12 22:06:20.313007,,253.67743,27.99035,7.94473,null,normal
42,2020-09-12 22:06:20.313007,,248.56359,28.54177,7.68164,null,normal
43,2020-09-12 22:06:20.313007,,249.52224,29.63222,7.7203,null,normal
44,2020-09-12 22:06:20.313007,,246.63736,27.16689,7.60534,null,normal
45,2020-09-12 22:06:20.313007,,254.41856,29.05108,7.72156,null,normal
46,2020-09-12 22:06:20.313007,,246.26556,27.95453,7.48824,null,normal
47,2020-09-12 22:06:20.313007,,258.24682,29.23039,8.01834,null,normal
48,2020-09-12 22:06:20.314008,,251.93245,28.68747,7.71271,null,normal
49,2020-09-12 22:06:20.314008,,265.90053,30.41864,8.2287,null,normal
50,2020-09-12 22:06:20.314008,,263.65706,30.72853,8.13048,null,normal
51,2020-09-12 22:06:20.314008,,246.42659,26.57803,7.59598,null,normal
52,2020-09-12 22:06:20.314008,,254.24255,28.61268,7.8418,null,normal
53,2020-09-12 22:06:20.314008,,259.56733,28.13265,8.02245,null,normal
54,2020-09-12 22:06:20.314008,,247.90617,28.1393,7.57271,null,normal
55,2020-09-12 22:06:20.314008,,248.23302,27.99467,7.76907,null,normal
56,2020-09-12 22:06:20.315006,,253.53198,28.30698,7.77114,null,normal
57,2020-09-12 22:06:20.315006,,259.34624,27.98655,7.8644,null,normal
58,2020-09-12 22:06:20.315006,,252.48233,27.47426,7.84573,null,normal
59,2020-09-12 22:06:20.315006,,243.1615,27.07156,7.56213,null,normal
60,2020-09-12 22:06:20.315006,,263.37123,27.0305,8.04618,null,normal
61,2020-09-12 22:06:20.315006,,262.13823,31.62296,8.18421,null,normal
62,2020-09-12 22:06:20.315006,,240.32873,27.22224,7.5479,null,normal
63,2020-09-12 22:06:20.315006,,252.45874,29.80174,7.75971,null,normal
64,2020-09-12 22:06:20.315006,,256.6684,28.40659,7.92127,null,normal
65,2020-09-12 22:06:20.316005,,247.42692,27.01169,7.75701,null,normal
66,2020-09-12 22:06:20.316005,,246.66422,27.3294,7.59706,null,normal
67,2020-09-12 22:06:20.316005,,260.97405,29.473,8.06288,null,normal
68,2020-09-12 22:06:20.316005,,243.26495,27.72764,7.55334,null,normal
69,2020-09-12 22:06:20.316005,,240.21803,25.08951,7.33089,null,normal
70,2020-09-12 22:06:20.316005,,248.1355,27.18952,7.7185,null,normal
71,2020-09-12 22:06:20.316005,,252.62387,28.3109,7.87008,null,normal
72,2020-09-12 22:06:20.316005,,254.34832,27.3555,7.72944,null,normal
73,2020-09-12 22:06:20.316005,,250.35026,27.54951,7.85126,null,normal
74,2020-09-12 22:06:20.316005,,252.03173,27.88,7.73134,null,normal
75,2020-09-12 22:06:20.316005,,253.82299,28.71266,7.80519,null,normal
76,2020-09-12 22:06:20.317005,,250.61129,29.7207,7.80218,null,normal
77,2020-09-12 22:06:20.317005,,262.78927,28.9846,8.15921,null,normal
78,2020-09-12 22:06:20.317005,,254.29074,27.21744,7.90037,null,normal
79,2020-09-12 22:06:20.317005,,261.74326,28.66338,7.98986,null,normal
80,2020-09-12 22:06:20.317005,,253.25497,28.48314,7.71562,null,normal
81,2020-09-12 22:06:20.317005,,253.09667,27.57972,7.91122,null,normal
82,2020-09-12 22:06:20.317005,,256.13304,29.06677,7.97486,null,normal
83,2020-09-12 22:06:20.317005,,249.29748,28.80884,7.65803,null,normal
84,2020-09-12 22:06:20.317005,,249.9046,27.60023,7.81235,null,normal
85,2020-09-12 22:06:20.317005,,241.0583,27.44499,7.40881,null,normal
86,2020-09-12 22:06:20.317005,,260.24474,29.57069,7.89825,null,normal
87,2020-09-12 22:06:20.317005,,251.43269,27.61147,7.63116,null,normal
88,2020-09-12 22:06:20.318005,,245.08183,25.73327,7.48195,null,normal
89,2020-09-12 22:06:20.318005,,252.67138,29.04265,7.83204,null,normal
90,2020-09-12 22:06:20.318005,,266.35868,29.78008,8.21404,null,normal
91,2020-09-12 22:06:20.318005,,245.7544,27.21157,7.55333,null,normal
92,2020-09-12 22:06:20.318005,,250.04263,27.91722,7.69099,null,normal
93,2020-09-12 22:06:20.318005,,261.20339,28.77097,8.10162,null,normal
94,2020-09-12 22:06:20.318005,,253.74401,30.67413,7.69081,null,normal
95,2020-09-12 22:06:20.318005,,246.69681,27.61815,7.52253,null,normal
96,2020-09-12 22:06:20.318005,,248.2895,27.12681,7.49274,null,normal
97,2020-09-12 22:06:20.318005,,252.32491,28.07806,7.72783,null,normal
98,2020-09-12 22:06:20.318005,,241.02444,28.52604,7.34364,null,normal
99,2020-09-12 22:06:20.318005,,245.59633,25.99046,7.50729,null,normal
100,2020-09-12 22:06:20.318005,,257.25846,30.86066,7.96824,null,normal
101,2020-09-12 22:06:20.318005,,263.03857,29.35615,8.17335,null,normal
102,2020-09-12 22:06:20.319004,,237.38966,26.96811,7.32122,null,normal
103,2020-09-12 22:06:20.319004,,261.89044,30.08711,8.04767,null,normal
104,2020-09-12 22:06:20.319004,,263.83253,29.82607,8.17519,null,normal
105,2020-09-12 22:06:20.319004,,249.77331,27.43619,7.60034,null,normal
106,2020-09-12 22:06:20.319004,,251.01529,28.92608,7.83711,null,normal
107,2020-09-12 22:06:20.319004,,251.91505,27.16089,7.78428,null,normal
108,2020-09-12 22:06:20.319004,,258.36147,28.39547,8.0514,null,normal
109,2020-09-12 22:06:20.319004,,247.36887,27.74321,7.52922,null,normal
110,2020-09-12 22:06:20.319004,,253.51046,26.63111,7.97969,null,normal
111,2020-09-12 22:06:20.319004,,257.17622,28.78091,7.84975,null,normal
112,2020-09-12 22:06:20.319004,,252.73806,27.05045,7.73614,null,normal
113,2020-09-12 22:06:20.319004,,256.80125,28.8954,7.94887,null,normal
114,2020-09-12 22:06:20.319004,,252.8179,28.90807,7.8235,null,normal
115,2020-09-12 22:06:20.319004,,254.03932,28.38399,7.95792,null,normal
116,2020-09-12 22:06:20.320005,,255.23924,27.11142,7.76709,null,normal
117,2020-09-12 22:06:20.320005,,245.11884,25.5614,7.45565,null,normal
118,2020-09-12 22:06:20.320005,,251.16822,27.25459,7.78942,null,normal
119,2020-09-12 22:06:20.320005,,253.83824,28.41458,7.80337,null,normal
120,2020-09-12 22:06:20.320005,,248.09879,27.68926,7.78265,null,normal
121,2020-09-12 22:06:20.320005,,251.46849,27.7942,7.72719,null,normal
122,2020-09-12 22:06:20.320005,,242.61515,29.40888,7.49571,null,normal
123,2020-09-12 22:06:20.320005,,256.86855,28.21634,7.89774,null,normal
124,2020-09-12 22:06:20.320005,,264.8381,29.17313,8.11926,null,normal
125,2020-09-12 22:06:20.320005,,252.67683,28.51443,7.79049,null,normal
126,2020-09-12 22:06:20.320005,,248.99977,28.59821,7.66816,null,normal
127,2020-09-12 22:06:20.320005,,258.05365,31.29352,7.94348,null,normal
128,2020-09-12 22:06:20.320005,,259.74072,30.00866,7.9962,null,normal
129,2020-09-12 22:06:20.320005,,255.48549,27.49222,7.88284,null,normal
130,2020-09-12 22:06:20.320005,,248.91704,27.9593,7.54139,null,normal
131,2020-09-12 22:06:20.320005,,253.90215,27.00337,7.77551,null,normal
132,2020-09-12 22:06:20.321005,,244.11069,26.00247,7.39207,null,normal
133,2020-09-12 22:06:20.321005,,250.18565,27.38064,7.67786,null,normal
134,2020-09-12 22:06:20.321005,,259.19706,28.28906,8.13767,null,normal
135,2020-09-12 22:06:20.321005,,246.04552,27.98827,7.6201,null,normal
136,2020-09-12 22:06:20.321005,,251.5659,27.99148,7.70155,null,normal
137,2020-09-12 22:06:20.321005,,253.51452,27.83629,7.78351,null,normal
138,2020-09-12 22:06:20.321005,,245.18478,27.10698,7.55628,null,normal
139,2020-09-12 22:06:20.321005,,268.23362,29.48362,8.21371,null,normal
140,2020-09-12 22:06:20.321005,,253.07303,27.98842,7.74379,null,normal
141,2020-09-12 22:06:20.321005,,254.5392,27.97389,7.80991,null,normal
142,2020-09-12 22:06:20.321005,,252.00683,27.34871,7.70281,null,normal
143,2020-09-12 22:06:20.321005,,247.99335,26.01851,7.79261,null,normal
144,2020-09-12 22:06:20.321005,,259.46218,29.68407,7.9084,null,normal
145,2020-09-12 22:06:20.321005,,258.24567,29.03978,7.89036,null,normal
146,2020-09-12 22:06:20.322005,,250.19457,27.99257,7.62898,null,normal
147,2020-09-12 22:06:20.322005,,256.46292,28.89209,8.02287,null,normal
148,2020-09-12 22:06:20.322005,,260.58163,29.82459,8.07505,null,normal
149,2020-09-12 22:06:20.322005,,250.72886,28.32409,7.91057,null,normal
150,2020-09-12 22:06:20.322005,,257.38529,31.18156,7.93592,null,normal
151,2020-09-12 22:06:20.322005,,237.2438,26.03751,7.31823,null,normal
152,2020-09-12 22:06:20.322005,,256.71064,29.70096,7.95552,null,normal
153,2020-09-12 22:06:20.322005,,246.76955,27.30265,7.57227,null,normal
154,2020-09-12 22:06:20.322005,,258.25503,29.77812,7.98528,null,normal
155,2020-09-12 22:06:20.322005,,256.72374,27.67156,7.84848,null,normal
156,2020-09-12 22:06:20.322005,,267.17391,29.00826,8.2201,null,normal
157,2020-09-12 22:06:20.322005,,245.18449,26.97866,7.49561,null,normal
