Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-09-15 19:28:08.020743,1,176.88,17.13,5.08,null,null
2,2020-09-15 19:28:08.120571,1,272.32,31.75,9.5,null,null
3,2020-09-15 19:28:08.214326,1,275.3,31.92,8.48,null,null
4,2020-09-15 19:28:08.308069,1,272.44,32.0,8.61,null,null
5,2020-09-15 19:28:08.417440,1,271.97,31.5,8.19,null,null
6,2020-09-15 19:28:08.511187,1,273.22,31.16,8.3,null,null
7,2020-09-15 19:28:08.620560,1,273.94,31.81,9.26,null,null
8,2020-09-15 19:28:08.714388,1,267.8,31.49,8.63,null,null
9,2020-09-15 19:28:08.808057,1,268.95,31.71,9.35,null,null
10,2020-09-15 19:28:08.917445,1,274.38,31.2,9.4,null,null
11,2020-09-15 19:28:09.019957,1,273.27,31.19,9.59,null,null
12,2020-09-15 19:28:09.113688,1,258.8,29.3,7.9,null,null
13,2020-09-15 19:28:09.220681,1,259.89,30.0,8.0,null,null
14,2020-09-15 19:28:09.314416,1,253.6,27.6,7.7,null,null
15,2020-09-15 19:28:09.408175,1,248.3,28.1,7.6,null,null
16,2020-09-15 19:28:09.517543,1,244.1,26.8,7.5,null,null
17,2020-09-15 19:28:09.622819,1,250.8,27.8,7.7,null,null
18,2020-09-15 19:28:09.716929,1,250.6,27.7,7.7,null,null
19,2020-09-15 19:28:09.810630,1,254.0,29.1,7.8,null,null
20,2020-09-15 19:28:09.919586,1,244.9,26.6,7.7,null,null
21,2020-09-15 19:28:10.018476,1,266.7,28.6,8.19,null,null
22,2020-09-15 19:28:10.112419,1,251.9,28.8,7.7,null,null
23,2020-09-15 19:28:10.206142,1,255.4,27.9,7.8,null,null
24,2020-09-15 19:28:10.315632,1,256.7,28.6,7.8,null,null
25,2020-09-15 19:28:10.409270,1,246.6,27.5,7.6,null,null
26,2020-09-15 19:28:10.518636,1,252.6,28.3,7.9,null,null
