Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
1,2020-07-15 14:57:25.426948,1,251.5,20.2,4.2,null,normal
2,2020-07-15 14:57:25.626948,1,271.8,31.1,8.7,null,normal
3,2020-07-15 14:57:25.826948,1,268.6,31.3,8.1,null,normal
4,2020-07-15 14:57:26.026948,1,276.9,31.6,8.8,null,normal
5,2020-07-15 14:57:26.226948,1,269.9,31.8,9.2,null,normal
6,2020-07-15 14:57:26.426948,1,269.8,31.9,9.0,null,normal
7,2020-07-15 14:57:26.626948,1,231.1,25.4,7.1,null,normal
8,2020-07-15 14:57:26.826948,1,240.0,27.5,7.4,null,normal
9,2020-07-15 14:57:27.026948,1,252.2,27.7,7.8,null,normal
10,2020-07-15 14:57:27.226948,1,248.9,26.0,7.7,null,normal
11,2020-07-15 14:57:27.426948,1,253.5,28.0,7.9,null,normal
12,2020-07-15 14:57:27.626948,1,250.1,29.5,7.6,null,normal
13,2020-07-15 14:57:27.826948,1,257.8,29.2,7.9,null,normal
14,2020-07-15 14:57:28.026948,1,246.3,26.4,7.7,null,normal
15,2020-07-15 14:57:28.226948,1,266.8,29.3,8.2,null,normal
16,2020-07-15 14:57:28.426948,1,244.4,26.9,7.5,null,normal
17,2020-07-15 14:57:28.626948,1,240.3,27.8,7.4,null,normal
18,2020-07-15 14:57:28.826948,1,264.4,28.8,8.1,null,normal
19,2020-07-15 14:57:29.026948,1,255.2,25.5,7.9,null,normal
20,2020-07-15 14:57:29.226948,1,256.8,29.2,7.8,null,normal
21,2020-07-15 14:57:29.426948,1,261.0,28.4,8.0,null,normal
22,2020-07-15 14:57:29.626948,1,257.6,28.6,8.1,null,normal
23,2020-07-15 14:57:29.826948,1,244.1,25.3,7.7,null,normal
24,2020-07-15 14:57:30.026948,1,259.1,28.5,8.0,null,normal
25,2020-07-15 14:57:30.226948,1,258.1,29.2,7.9,null,normal
26,2020-07-15 14:57:30.426948,1,260.6,28.1,8.0,null,normal
27,2020-07-15 14:57:30.626948,1,246.1,27.6,7.6,null,normal
28,2020-07-15 14:57:30.826948,1,262.7,30.4,8.1,null,normal
29,2020-07-15 14:57:31.026948,1,258.3,28.5,8.0,null,normal
30,2020-07-15 14:57:31.226948,1,252.6,27.9,7.7,null,normal
31,2020-07-15 14:57:31.426948,1,249.4,28.3,7.6,null,normal
32,2020-07-15 14:57:31.626948,1,257.4,29.7,7.8,null,normal
33,2020-07-15 14:57:31.826948,1,236.1,25.6,7.4,null,normal
34,2020-07-15 14:57:32.026948,1,250.4,29.6,7.6,null,normal
35,2020-07-15 14:57:32.226948,1,254.7,29.5,7.9,null,normal
36,2020-07-15 14:57:32.426948,1,248.7,28.4,7.6,null,normal
37,2020-07-15 14:57:32.626948,1,255.8,28.9,7.9,null,normal
38,2020-07-15 14:57:32.826948,1,253.9,27.6,7.8,null,normal
39,2020-07-15 14:57:33.026948,1,262.1,29.4,8.0,null,normal
40,2020-07-15 14:57:33.226948,1,243.8,27.9,7.5,null,normal
41,2020-07-15 14:57:33.426948,1,250.8,25.8,7.8,null,normal
42,2020-07-15 14:57:33.626948,1,252.6,29.4,7.8,null,normal
43,2020-07-15 14:57:33.826948,1,235.5,25.3,7.3,null,normal
44,2020-07-15 14:57:34.026948,1,257.5,28.6,7.9,null,normal
45,2020-07-15 14:57:34.226948,1,244.3,26.7,7.7,null,normal
46,2020-07-15 14:57:34.426948,1,264.7,30.4,8.2,null,normal
47,2020-07-15 14:57:34.626948,1,260.7,29.3,8.1,null,normal
48,2020-07-15 14:57:34.826948,1,262.5,30.9,8.1,null,normal
49,2020-07-15 14:57:35.026948,1,247.2,28.0,7.7,null,normal
50,2020-07-15 14:57:35.226948,1,257.2,28.4,7.8,null,normal
51,2020-07-15 14:57:35.426948,1,265.7,30.4,8.1,null,normal
52,2020-07-15 14:57:35.626948,1,262.6,29.0,8.1,null,normal
53,2020-07-15 14:57:35.826948,1,245.7,26.8,7.6,null,normal
54,2020-07-15 14:57:36.026948,1,253.3,29.5,7.8,null,normal
55,2020-07-15 14:57:36.226948,1,254.3,28.6,7.7,null,normal
56,2020-07-15 14:57:36.426948,1,239.2,27.1,7.4,null,normal
57,2020-07-15 14:57:36.626948,1,253.2,30.0,7.8,null,normal
58,2020-07-15 14:57:36.826948,1,253.6,27.5,7.7,null,normal
59,2020-07-15 14:57:37.026948,1,252.1,28.8,7.8,null,normal
60,2020-07-15 14:57:37.226948,1,259.3,28.9,8.0,null,normal
61,2020-07-15 14:57:37.426948,1,247.3,29.1,7.5,null,normal
62,2020-07-15 14:57:37.626948,1,236.7,28.2,7.2,null,normal
63,2020-07-15 14:57:37.826948,1,250.6,28.5,7.6,null,normal
64,2020-07-15 14:57:38.026948,1,269.2,30.5,8.2,null,normal
65,2020-07-15 14:57:38.226948,1,259.0,28.0,8.0,null,normal
66,2020-07-15 14:57:38.426948,1,248.6,26.9,7.6,null,normal
67,2020-07-15 14:57:38.626948,1,264.2,27.7,8.1,null,normal
68,2020-07-15 14:57:38.826948,1,248.3,26.8,7.7,null,normal
69,2020-07-15 14:57:39.026948,1,258.2,29.0,8.0,null,normal
70,2020-07-15 14:57:39.226948,1,262.4,29.6,8.0,null,normal
71,2020-07-15 14:57:39.426948,1,253.9,27.3,7.9,null,normal
72,2020-07-15 14:57:39.626948,1,253.4,29.2,7.8,null,normal
73,2020-07-15 14:57:39.826948,1,267.3,29.6,8.2,null,normal
74,2020-07-15 14:57:40.026948,1,265.1,30.7,8.2,null,normal
75,2020-07-15 14:57:40.226948,1,259.0,29.5,8.0,null,normal
76,2020-07-15 14:57:40.426948,1,264.2,30.6,8.1,null,normal
77,2020-07-15 14:57:40.626948,1,248.8,27.3,7.7,null,normal
78,2020-07-15 14:57:40.826948,1,246.3,26.7,7.6,null,normal
79,2020-07-15 14:57:41.026948,1,256.9,29.2,7.9,null,normal
80,2020-07-15 14:57:41.226948,1,247.3,27.7,7.7,null,normal
81,2020-07-15 14:57:41.426948,1,247.0,28.1,7.7,null,normal
82,2020-07-15 14:57:41.626948,1,253.2,27.9,7.8,null,normal
83,2020-07-15 14:57:41.826948,1,252.6,28.6,7.9,null,normal
84,2020-07-15 14:57:42.026948,1,243.1,27.9,7.7,null,normal
85,2020-07-15 14:57:42.226948,1,255.2,27.0,7.8,null,normal
86,2020-07-15 14:57:42.426948,1,249.1,27.2,7.7,null,normal
87,2020-07-15 14:57:42.626948,1,258.1,29.9,8.1,null,normal
88,2020-07-15 14:57:42.826948,1,248.5,28.1,7.6,null,normal
89,2020-07-15 14:57:43.026948,1,255.8,29.5,7.9,null,normal
90,2020-07-15 14:57:43.226948,1,262.1,30.5,8.2,null,normal
91,2020-07-15 14:57:43.426948,1,259.1,28.2,8.0,null,normal
92,2020-07-15 14:57:43.626948,1,260.4,30.7,8.0,null,normal
